,ds,y
735,19:01:2018 13:15:01,85.66
736,19:01:2018 13:18:01,91.1
737,19:01:2018 13:21:01,90.67
738,19:01:2018 13:24:01,86.04
739,19:01:2018 13:27:01,96.16
740,19:01:2018 13:30:01,85.71
741,19:01:2018 13:33:01,90.93
742,19:01:2018 13:36:01,90.7
743,19:01:2018 13:39:01,86.41
744,19:01:2018 13:42:01,96.01
745,19:01:2018 13:45:01,85.87
746,19:01:2018 13:48:01,90.24
747,19:01:2018 13:51:01,91.27
748,19:01:2018 13:54:01,85.85
749,19:01:2018 13:57:01,96.58
750,19:01:2018 14:00:01,85.73
751,19:01:2018 14:03:01,90.03
752,19:01:2018 14:06:01,91.5
753,19:01:2018 14:09:01,86.09
754,19:01:2018 14:12:01,96.36
755,19:01:2018 14:15:01,85.7
756,19:01:2018 14:18:01,90.12
757,19:01:2018 14:21:01,91.56
758,19:01:2018 14:24:02,86.43
759,19:01:2018 14:27:01,95.91
760,19:01:2018 14:30:01,85.91
761,19:01:2018 14:33:01,89.14
762,19:01:2018 14:36:01,92.49
763,19:01:2018 14:39:02,85.99
764,19:01:2018 14:42:01,96.31
765,19:01:2018 14:45:01,85.78
766,19:01:2018 14:48:01,92.39
767,19:01:2018 14:51:01,89.37
768,19:01:2018 14:54:02,86.3
769,19:01:2018 14:57:01,96.07
770,19:01:2018 15:00:01,85.45
771,19:01:2018 15:03:01,91.94
772,19:01:2018 15:06:01,89.28
773,19:01:2018 15:09:01,86.66
774,19:01:2018 15:12:01,95.84
775,19:01:2018 15:15:02,86.12
776,19:01:2018 15:18:01,91.75
777,19:01:2018 15:21:01,89.88
778,19:01:2018 15:24:01,85.94
779,19:01:2018 15:27:01,96.46
780,19:01:2018 15:30:01,85.71
781,19:01:2018 15:33:01,91.82
782,19:01:2018 15:36:01,89.71
783,19:01:2018 15:39:01,86.19
784,19:01:2018 15:42:01,96.1
785,19:01:2018 15:45:01,85.87
786,19:01:2018 15:48:01,91.96
787,19:01:2018 15:51:01,89.76
788,19:01:2018 15:54:01,86.29
789,19:01:2018 15:57:01,95.71
790,19:01:2018 16:00:01,85.95
791,19:01:2018 16:03:01,90.45
792,19:01:2018 16:06:01,90.29
793,19:01:2018 16:09:01,85.83
794,19:01:2018 16:12:01,96.45
795,19:01:2018 16:15:01,85.5
796,19:01:2018 16:18:01,91.35
797,19:01:2018 16:21:01,90.21
798,19:01:2018 16:24:01,86.12
799,19:01:2018 16:27:01,96.17
800,19:01:2018 16:30:01,85.55
801,19:01:2018 16:33:01,91.21
802,19:01:2018 16:36:01,90.02
803,19:01:2018 16:39:01,86.57
804,19:01:2018 16:42:01,95.84
805,19:01:2018 16:45:01,85.77
806,19:01:2018 16:48:01,90.58
807,19:01:2018 16:51:01,90.5
808,19:01:2018 16:54:01,85.67
809,19:01:2018 16:57:01,96.55
810,19:01:2018 17:00:01,85.5
811,19:01:2018 17:03:01,90.87
812,19:01:2018 17:06:01,90.38
813,19:01:2018 17:09:01,86.11
814,19:01:2018 17:12:01,96.19
815,19:01:2018 17:15:01,85.4
816,19:01:2018 17:18:01,90.4
817,19:01:2018 17:21:01,90.9
818,19:01:2018 17:24:01,86.37
819,19:01:2018 17:27:01,95.91
820,19:01:2018 17:30:01,85.88
821,19:01:2018 17:33:01,90.31
822,19:01:2018 17:36:01,90.99
823,19:01:2018 17:39:01,85.73
824,19:01:2018 17:42:01,96.55
825,19:01:2018 17:45:02,85.62
826,19:01:2018 17:48:01,89.87
827,19:01:2018 17:51:01,91.42
828,19:01:2018 17:54:01,86.18
829,19:01:2018 17:57:01,95.89
830,19:01:2018 18:00:01,85.68
831,19:01:2018 18:03:01,89.1
832,19:01:2018 18:06:01,91.95
833,19:01:2018 18:09:01,86.47
834,19:01:2018 18:12:01,95.83
835,19:01:2018 18:15:01,86.07
836,19:01:2018 18:18:01,91.68
837,19:01:2018 18:21:01,89.15
838,19:01:2018 18:24:01,86.02
839,19:01:2018 18:27:01,96.28
840,19:01:2018 18:30:01,85.58
841,19:01:2018 18:33:01,92.22
842,19:01:2018 18:36:01,89.45
843,19:01:2018 18:39:01,86.36
844,19:01:2018 18:42:01,96.0
845,19:01:2018 18:45:01,85.88
846,19:01:2018 18:48:01,92.22
847,19:01:2018 18:51:01,89.54
848,19:01:2018 18:54:01,86.65
849,19:01:2018 18:57:01,95.78
850,19:01:2018 19:00:01,86.23
851,19:01:2018 19:03:01,91.13
852,19:01:2018 19:06:01,89.48
853,19:01:2018 19:09:01,85.99
854,19:01:2018 19:12:01,96.24
855,19:01:2018 19:15:02,85.73
856,19:01:2018 19:18:01,92.08
857,19:01:2018 19:21:01,89.66
858,19:01:2018 19:24:01,86.37
859,19:01:2018 19:27:01,96.03
860,19:01:2018 19:30:01,85.51
861,19:01:2018 19:33:01,91.44
862,19:01:2018 19:36:01,89.8
863,19:01:2018 19:39:01,86.63
864,19:01:2018 19:42:01,95.85
865,19:01:2018 19:45:01,86.26
866,19:01:2018 19:48:01,90.84
867,19:01:2018 19:51:01,90.46
868,19:01:2018 19:54:01,85.8
869,19:01:2018 19:57:01,96.26
870,19:01:2018 20:00:01,85.54
871,19:01:2018 20:03:01,90.99
872,19:01:2018 20:06:01,90.25
873,19:01:2018 20:09:01,86.11
874,19:01:2018 20:12:01,96.08
875,19:01:2018 20:15:01,85.65
876,19:01:2018 20:18:01,91.0
877,19:01:2018 20:21:01,89.93
878,19:01:2018 20:24:01,86.51
879,19:01:2018 20:27:01,95.91
880,19:01:2018 20:30:01,86.05
881,19:01:2018 20:33:01,90.56
882,19:01:2018 20:36:01,90.63
883,19:01:2018 20:39:01,85.86
884,19:01:2018 20:42:01,96.4
885,19:01:2018 20:45:01,85.36
886,19:01:2018 20:48:01,91.14
887,19:01:2018 20:51:01,90.56
888,19:01:2018 20:54:01,86.18
889,19:01:2018 20:57:01,95.99
890,19:01:2018 21:00:01,85.84
891,19:01:2018 21:03:01,90.32
892,19:01:2018 21:06:01,90.95
893,19:01:2018 21:09:01,86.62
894,19:01:2018 21:12:01,95.87
895,19:01:2018 21:15:01,86.12
896,19:01:2018 21:18:01,90.43
897,19:01:2018 21:21:01,90.87
898,19:01:2018 21:24:01,85.94
899,19:01:2018 21:27:01,96.38
900,19:01:2018 21:30:01,85.71
901,19:01:2018 21:33:01,90.68
902,19:01:2018 21:36:01,91.11
903,19:01:2018 21:39:01,86.28
904,19:01:2018 21:42:01,96.14
905,19:01:2018 21:45:01,85.92
906,19:01:2018 21:48:01,90.0
907,19:01:2018 21:51:01,91.43
908,19:01:2018 21:54:01,86.51
909,19:01:2018 21:57:01,95.8
910,19:01:2018 22:00:01,86.0
911,19:01:2018 22:03:01,88.88
912,19:01:2018 22:06:01,92.15
913,19:01:2018 22:09:01,85.95
914,19:01:2018 22:12:01,96.29
915,19:01:2018 22:15:01,86.01
916,19:01:2018 22:18:01,92.54
917,19:01:2018 22:21:01,89.03
918,19:01:2018 22:24:01,86.48
919,19:01:2018 22:27:01,95.95
920,19:01:2018 22:30:01,85.77
921,19:01:2018 22:33:01,92.01
922,19:01:2018 22:36:01,88.91
923,19:01:2018 22:39:01,86.22
924,19:01:2018 22:42:01,95.82
925,19:01:2018 22:45:01,85.84
926,19:01:2018 22:48:01,91.1
927,19:01:2018 22:51:01,89.95
928,19:01:2018 22:54:01,86.05
929,19:01:2018 22:57:01,96.23
930,19:01:2018 23:00:01,85.52
931,19:01:2018 23:03:01,90.89
932,19:01:2018 23:06:01,90.12
933,19:01:2018 23:09:01,86.4
934,19:01:2018 23:12:01,95.99
935,19:01:2018 23:15:01,85.81
936,19:01:2018 23:18:01,90.61
937,19:01:2018 23:21:01,90.8
938,19:01:2018 23:24:01,86.42
939,19:01:2018 23:27:01,95.84
940,19:01:2018 23:30:01,86.0
941,19:01:2018 23:33:01,90.28
