,ds,y
168,18:01:2018 8:27:01,92.07
169,18:01:2018 8:30:01,86.72
170,18:01:2018 8:33:01,96.05
171,18:01:2018 8:36:01,85.82
172,18:01:2018 8:39:01,92.49
173,18:01:2018 8:42:01,89.87
174,18:01:2018 8:45:01,86.32
175,18:01:2018 8:48:01,96.49
176,18:01:2018 8:51:01,85.35
177,18:01:2018 8:54:01,92.35
178,18:01:2018 8:57:01,90.19
179,18:01:2018 9:00:01,86.5
180,18:01:2018 9:03:01,95.89
181,18:01:2018 9:06:01,85.56
182,18:01:2018 9:09:01,92.31
183,18:01:2018 9:12:02,90.5
184,18:01:2018 9:15:01,86.87
185,18:01:2018 9:18:01,95.93
186,18:01:2018 9:21:01,85.44
187,18:01:2018 9:24:01,91.29
188,18:01:2018 9:27:01,91.28
189,18:01:2018 9:30:01,86.24
190,18:01:2018 9:33:01,96.81
191,18:01:2018 9:36:01,85.42
192,18:01:2018 9:39:01,93.16
193,18:01:2018 9:42:01,89.29
194,18:01:2018 9:45:01,86.71
195,18:01:2018 9:48:01,95.73
196,18:01:2018 9:51:01,85.05
197,18:01:2018 9:54:01,92.25
198,18:01:2018 9:57:01,90.46
199,18:01:2018 10:00:01,86.82
200,18:01:2018 10:03:01,95.67
201,18:01:2018 10:06:01,86.06
202,18:01:2018 10:09:01,91.75
203,18:01:2018 10:12:01,90.9
204,18:01:2018 10:15:01,86.29
205,18:01:2018 10:18:01,96.47
206,18:01:2018 10:21:01,85.44
207,18:01:2018 10:24:01,92.28
208,18:01:2018 10:27:01,90.82
209,18:01:2018 10:30:01,86.64
210,18:01:2018 10:33:01,96.18
211,18:01:2018 10:36:01,85.54
212,18:01:2018 10:39:01,90.14
213,18:01:2018 10:42:01,92.64
214,18:01:2018 10:45:01,86.35
215,18:01:2018 10:48:02,96.37
216,18:01:2018 10:51:01,85.27
217,18:01:2018 10:54:01,92.72
218,18:01:2018 10:57:01,89.65
219,18:01:2018 11:00:01,86.55
220,18:01:2018 11:03:01,95.79
221,18:01:2018 11:06:01,85.48
222,18:01:2018 11:09:01,93.39
223,18:01:2018 11:12:01,89.52
224,18:01:2018 11:15:01,86.71
225,18:01:2018 11:18:01,95.97
226,18:01:2018 11:21:01,85.51
227,18:01:2018 11:24:01,91.91
228,18:01:2018 11:27:01,90.77
229,18:01:2018 11:30:01,85.88
230,18:01:2018 11:33:01,96.71
231,18:01:2018 11:36:01,86.11
232,18:01:2018 11:39:01,91.63
233,18:01:2018 11:42:01,90.65
234,18:01:2018 11:45:02,86.31
235,18:01:2018 11:48:01,96.59
236,18:01:2018 11:51:01,85.36
237,18:01:2018 11:54:01,91.68
238,18:01:2018 11:57:01,91.2
239,18:01:2018 12:00:02,86.76
240,18:01:2018 12:03:01,95.75
241,18:01:2018 12:06:01,85.55
242,18:01:2018 12:09:01,91.29
243,18:01:2018 12:12:01,91.33
244,18:01:2018 12:15:01,85.89
245,18:01:2018 12:18:01,96.75
246,18:01:2018 12:21:01,85.47
247,18:01:2018 12:24:01,89.96
248,18:01:2018 12:27:01,92.36
249,18:01:2018 12:30:01,86.23
250,18:01:2018 12:33:01,96.18
251,18:01:2018 12:36:01,84.83
252,18:01:2018 12:39:01,92.97
253,18:01:2018 12:42:01,89.14
254,18:01:2018 12:45:01,86.66
255,18:01:2018 12:48:01,95.97
256,18:01:2018 12:51:01,85.6
257,18:01:2018 12:54:01,92.03
258,18:01:2018 12:57:01,90.72
259,18:01:2018 13:00:01,86.34
260,18:01:2018 13:03:01,96.37
261,18:01:2018 13:06:01,85.38
262,18:01:2018 13:09:01,92.29
263,18:01:2018 13:12:01,90.66
264,18:01:2018 13:15:01,86.54
265,18:01:2018 13:18:01,96.21
266,18:01:2018 13:21:01,85.27
267,18:01:2018 13:24:01,92.05
268,18:01:2018 13:27:01,90.28
269,18:01:2018 13:30:01,86.89
270,18:01:2018 13:33:01,96.09
271,18:01:2018 13:36:01,85.59
272,18:01:2018 13:39:01,91.64
273,18:01:2018 13:42:01,91.01
274,18:01:2018 13:45:01,86.12
275,18:01:2018 13:48:02,96.78
276,18:01:2018 13:51:01,85.39
277,18:01:2018 13:54:01,90.47
278,18:01:2018 13:57:01,92.63
279,18:01:2018 14:00:01,86.56
280,18:01:2018 14:03:01,96.22
281,18:01:2018 14:06:01,85.24
282,18:01:2018 14:09:01,93.17
283,18:01:2018 14:12:01,89.54
284,18:01:2018 14:15:01,86.5
285,18:01:2018 14:18:01,96.12
286,18:01:2018 14:21:01,85.62
287,18:01:2018 14:24:01,92.48
288,18:01:2018 14:27:01,89.91
289,18:01:2018 14:30:01,85.99
290,18:01:2018 14:33:01,96.52
291,18:01:2018 14:36:01,85.35
292,18:01:2018 14:39:01,92.38
293,18:01:2018 14:42:01,90.61
294,18:01:2018 14:45:01,86.47
295,18:01:2018 14:48:01,96.32
296,18:01:2018 14:51:01,85.31
297,18:01:2018 14:54:01,91.92
298,18:01:2018 14:57:01,91.01
299,18:01:2018 15:00:01,86.77
300,18:01:2018 15:03:01,95.58
