18:01:2018:8:15:01,86.48
18:01:2018:8:18:01,96.12
18:01:2018:8:21:01,85.22
18:01:2018:8:24:01,90.91
18:01:2018:8:27:01,92.07
18:01:2018:8:30:01,86.72
18:01:2018:8:33:01,96.05
18:01:2018:8:36:01,85.82
18:01:2018:8:39:01,92.49
18:01:2018:8:42:01,89.87
18:01:2018:8:45:01,86.32
18:01:2018:8:48:01,96.49
18:01:2018:8:51:01,85.35
18:01:2018:8:54:01,92.35
18:01:2018:8:57:01,90.19
18:01:2018:9:00:01,86.50
18:01:2018:9:03:01,95.89
18:01:2018:9:06:01,85.56
18:01:2018:9:09:01,92.31
18:01:2018:9:12:02,90.50
18:01:2018:9:15:01,86.87
18:01:2018:9:18:01,95.93
18:01:2018:9:21:01,85.44
18:01:2018:9:24:01,91.29
18:01:2018:9:27:01,91.28
18:01:2018:9:30:01,86.24
18:01:2018:9:33:01,96.81
18:01:2018:9:36:01,85.42
18:01:2018:9:39:01,93.16
18:01:2018:9:42:01,89.29
18:01:2018:9:45:01,86.71
18:01:2018:9:48:01,95.73
18:01:2018:9:51:01,85.05
18:01:2018:9:54:01,92.25
18:01:2018:9:57:01,90.46
18:01:2018:10:00:01,86.82
18:01:2018:10:03:01,95.67
18:01:2018:10:06:01,86.06
18:01:2018:10:09:01,91.75
18:01:2018:10:12:01,90.90
18:01:2018:10:15:01,86.29
18:01:2018:10:18:01,96.47
18:01:2018:10:21:01,85.44
18:01:2018:10:24:01,92.28
18:01:2018:10:27:01,90.82
18:01:2018:10:30:01,86.64
18:01:2018:10:33:01,96.18
18:01:2018:10:36:01,85.54
18:01:2018:10:39:01,90.14
18:01:2018:10:42:01,92.64
18:01:2018:10:45:01,86.35
18:01:2018:10:48:02,96.37
18:01:2018:10:51:01,85.27
18:01:2018:10:54:01,92.72
18:01:2018:10:57:01,89.65
18:01:2018:11:00:01,86.55
18:01:2018:11:03:01,95.79
18:01:2018:11:06:01,85.48
18:01:2018:11:09:01,93.39
18:01:2018:11:12:01,89.52
18:01:2018:11:15:01,86.71
18:01:2018:11:18:01,95.97
18:01:2018:11:21:01,85.51
18:01:2018:11:24:01,91.91
18:01:2018:11:27:01,90.77
18:01:2018:11:30:01,85.88
18:01:2018:11:33:01,96.71
18:01:2018:11:36:01,86.11
18:01:2018:11:39:01,91.63
18:01:2018:11:42:01,90.65
18:01:2018:11:45:02,86.31
18:01:2018:11:48:01,96.59
18:01:2018:11:51:01,85.36
18:01:2018:11:54:01,91.68
18:01:2018:11:57:01,91.20
18:01:2018:12:00:02,86.76
18:01:2018:12:03:01,95.75
18:01:2018:12:06:01,85.55
18:01:2018:12:09:01,91.29
18:01:2018:12:12:01,91.33
18:01:2018:12:15:01,85.89
18:01:2018:12:18:01,96.75
18:01:2018:12:21:01,85.47
18:01:2018:12:24:01,89.96
18:01:2018:12:27:01,92.36
18:01:2018:12:30:01,86.23
18:01:2018:12:33:01,96.18
18:01:2018:12:36:01,84.83
18:01:2018:12:39:01,92.97
18:01:2018:12:42:01,89.14
18:01:2018:12:45:01,86.66
18:01:2018:12:48:01,95.97
18:01:2018:12:51:01,85.60
18:01:2018:12:54:01,92.03
18:01:2018:12:57:01,90.72
18:01:2018:13:00:01,86.34
18:01:2018:13:03:01,96.37
18:01:2018:13:06:01,85.38
18:01:2018:13:09:01,92.29
18:01:2018:13:12:01,90.66
18:01:2018:13:15:01,86.54
18:01:2018:13:18:01,96.21
18:01:2018:13:21:01,85.27
18:01:2018:13:24:01,92.05
18:01:2018:13:27:01,90.28
18:01:2018:13:30:01,86.89
18:01:2018:13:33:01,96.09
18:01:2018:13:36:01,85.59
